"Cell data file for inSALMO, Lower Gorge site",,,,
"Developed from Clear Creek River2D data, obtained from JWhite 11/30/2012",,,,
Cell#,FracVelShelter,DistToHidingCover,FracSpawnGravel,ReachEndCode
1,0.234,6.704,0,I
2,0.629,7.627,0,I
3,0.275,9.235,0,I
4,0.146,11.205,0,I
5,0,15.442,0,U
6,0.111,20.651,0,U
7,0,26.113,0,I
8,0.049,29.724,0,I
9,0.148,32.613,0,I
10,0,6.203,0,I
11,0.69,8.08,0,I
12,0.264,4.675,0,I
13,0.296,6.16,0,I
14,0.264,1.11,0.164,I
15,0.596,6.479,0,I
16,0.219,9.832,0,I
17,0.235,15.536,0,I
18,0.58,9.142,0,I
19,0.297,14.159,0,I
20,1,12.449,0,I
21,0.134,19.305,0,I
22,0,28.057,0,I
23,0.117,31.583,0,I
24,0.317,33.166,0,I
25,0.178,24.717,0,I
26,0.531,25.338,0,I
27,0.111,22.934,0,I
28,0,19.744,0,I
29,0.593,30.467,0,I
30,0.242,30.301,0,I
31,0.641,31.725,0,I
32,0.354,28.721,0,I
33,0.637,33.154,0.143,I
34,0,30.616,0.761,I
35,0.545,27.103,0.47,I
36,0.173,23.76,0,I
37,0.195,12.76,0,I
38,0.575,4.121,0,I
39,0.191,5.846,0,I
40,0.218,6.533,0,I
41,0.522,24.563,0,I
42,0.587,27.768,0,I
43,0.388,19.238,0,I
44,0.816,24.507,0,I
45,0.082,11.901,0,I
46,0.119,20.166,0.033,I
47,0.374,23.338,0.456,I
48,0.351,29.08,0,I
49,1,33.262,0,I
50,0.73,31.44,0,I
51,0.266,29.315,0,I
52,0,31.948,0.249,I
53,0.767,32.166,0.064,I
54,0.532,28.406,0.428,I
55,0.669,25.837,0.393,I
56,0.343,28.71,0.738,I
57,0.265,31.056,0.561,I
58,0.524,34.77,0.371,I
59,0.364,29.796,0.612,I
60,0.473,19.218,0.743,I
61,0.344,20.448,0.999,I
62,0.333,2.535,0,I
63,0.332,1.03,0.331,I
64,0.312,5.531,0.674,I
65,0.236,4.369,0.119,I
66,0.199,4.415,0.904,I
67,0.333,9.776,0.367,I
68,0.631,13.742,0.224,I
69,0.284,14.916,0.043,I
70,0.249,17.061,0.871,I
71,0.471,9.157,0.154,I
72,0.158,2.414,0,I
73,0.249,7.035,0.018,I
74,0.314,11.157,0.796,I
75,0.303,14.326,0.932,I
76,0.159,19.086,0.905,I
77,0.266,22.259,0.995,I
78,0.076,14.92,0.546,I
79,0.204,7.511,0,I
80,0,9.249,0,I
81,0,10.664,0.025,I
82,0.526,2.923,0,I
83,0.472,4.233,0,I
84,0.538,4.001,0,I
85,0.932,4.463,0,I
86,0.558,1.002,0,I
87,0.57,7.499,0.045,I
88,0.502,3.96,0,I
89,0.485,6.622,0.166,I
90,0.053,6.98,0,I
91,0.182,8.798,0.288,I
92,0.192,11.857,0.781,I
93,0.734,10.683,0.852,I
94,0.181,14.808,0.999,I
95,0.214,17.288,1,I
96,0.253,16.696,0.999,I
97,0.288,25.029,0.972,I
98,0.356,14.884,1,I
99,0.196,24.381,0.433,I
100,0.471,12.56,0.647,I
101,0.252,9.369,0.28,I
102,0.425,11.225,0.981,I
103,0.256,2.039,0.267,I
104,0.293,2.426,0.303,I
105,0.433,4.792,0.683,I
106,0.26,11.542,0.8,I
107,0.221,16.278,0.905,I
108,0.276,15.668,0.819,I
109,0.221,14.209,0.735,I
110,0.368,10.734,0.466,I
111,0.338,9.287,0.418,I
112,0.414,3.242,0.188,I
113,0,0.562,0,I
114,0.126,6.997,0.28,I
115,0.028,3.897,0.17,I
116,0.201,2.545,0,I
117,0.38,1.847,0,I
118,0.411,3.725,0.104,I
119,0.374,0.54,0,I
120,0.458,0.501,0,I
121,0.917,5.627,0,I
122,0.258,3.778,0,I
123,0.094,1.469,0,I
124,0.3,4.359,0,I
125,0.803,0.82,0,I
126,0.041,2.46,0,I
127,0.135,0.886,0,I
128,0.164,1.987,0,I
129,0.533,1.881,0,I
130,0.293,1.212,0,I
131,0.13,2.917,0,I
132,0.035,3.753,0,I
133,0.474,2.593,0,I
134,0.274,1.942,0,I
135,0.061,3.166,0,I
136,0,0.755,0,I
137,0,1.629,0,I
138,0.16,0.626,0,I
139,0.482,2.259,0,I
140,0.276,0.561,0,I
141,0.343,1.269,0,I
142,0.131,2.049,0,I
143,0.213,1.036,0,I
144,0.124,0.956,0.012,I
145,0,0.814,0,I
146,0.41,1.761,0,I
147,0.189,3.355,0.129,I
148,0.072,4.683,0,I
149,0.375,2.372,0,I
150,0.016,5.603,0.086,I
151,0.382,6.138,0.097,I
152,0.072,6.42,0.741,I
153,0.091,0.551,0.061,I
154,0.148,3.763,0.049,I
155,0.075,2.935,0,I
156,0.083,1.388,0,I
157,0.091,2.482,0,I
158,0,0.829,0,I
159,0,1.94,0,I
160,0.261,1.13,0,I
161,0.021,4.353,0,I
162,0.054,4.092,0,I
163,0.263,1.71,0,I
164,0.228,9.7,0.003,I
165,0.354,9.312,0,I
166,0.574,8.455,0,I
167,0.096,8.155,0,I
168,0.347,9.383,0.823,I
169,0.343,11.905,0.774,I
170,0.553,13.546,0.764,I
171,0.251,14.17,0.795,I
172,0.345,13.059,0.961,I
173,0.201,11.361,0.999,I
174,0.294,9.892,1,I
175,0.199,5.698,0,I
176,0.574,15.922,0.034,I
177,0.335,14.971,0,I
178,0.627,19.008,0,I
179,0.413,21.176,0,I
180,0,23.308,0.018,I
181,0.733,23.654,0.183,I
182,0.637,22.624,0.447,I
183,0.176,19.806,0.924,I
184,0.453,19.267,1,I
185,0.699,16.336,0.971,I
186,1,14.218,0.844,I
187,0.803,13.678,0.702,I
188,0.796,11.892,0.742,I
189,0.266,11.633,0.836,I
190,0.504,14.254,0.185,I
191,0.182,14.553,0.005,I
192,0.086,18.482,0.079,I
193,0.717,20.494,0.671,I
194,0.066,22.055,0.996,I
195,0.283,24.514,0.999,I
196,0.045,27.128,0.849,I
197,0.339,28.232,0.896,I
198,0,26.993,0.556,I
199,0,29.673,0.001,I
200,0,31.117,0.338,I
201,0,33.311,0,I
202,0.251,33.333,0.445,I
203,0.229,30.427,0.978,I
204,0.764,32.906,0.992,I
205,0.581,35.609,0.655,I
206,0.213,34.7,0.099,I
207,0.104,35.263,0,I
208,0,34.778,0.38,I
209,0.087,36.286,0,I
210,0.08,36.087,0,I
211,0,33.672,0.022,I
212,0.183,32.386,0,I
213,0,33.318,0.029,I
214,0,25.876,0.526,I
215,0.283,26.507,0.112,I
216,0.284,21.483,0.056,I
217,0.16,19.49,0,I
218,0.482,18.416,0,I
219,0.39,19.305,0.785,I
220,0.093,25.572,0.886,I
221,0.452,14.504,0.983,I
222,0.157,9.923,0.977,I
223,0.075,4.512,0.939,I
224,0.232,5.144,0.453,I
225,0.145,7.233,0.038,I
226,0.314,7.81,0.147,I
227,0.454,5.414,0,I
228,0.215,2.558,0,I
229,0,3.255,0,I
230,0.284,2.85,0.496,I
231,0.916,3.128,0.999,I
232,0,5.827,0.218,I
233,0.749,2.503,0,I
234,0.136,5.908,0.797,I
235,0,11.324,0.973,I
236,0.244,15.612,1,I
237,0.451,17.818,0.999,I
238,0.362,19.254,0.955,I
239,0.14,15.059,0,I
240,0.183,11.576,0,I
241,0,17.057,0.187,I
242,0.077,10.559,0.37,I
243,0.097,5.702,0,I
244,0.273,3.887,0,I
245,0.146,7.133,0.076,I
246,0,8.984,0.959,I
247,0.284,15.828,0.719,I
248,0,6.653,0.013,I
249,0.424,6.024,0.3,I
250,0,8.62,0.672,I
251,0,14.739,0.999,I
252,0.084,20.777,1,I
253,0,15.971,0.999,I
254,0.472,13.19,0.835,I
255,0.112,10.19,0.208,I
256,0.21,6.568,0.239,I
257,0.27,0.684,0,I
258,0.604,3.048,0,I
259,1,4.384,0,I
260,0.717,5.415,0,I
261,0.541,7.616,0,I
262,0.093,11.051,0,I
263,0,17.88,0.397,I
264,0.156,8.203,0,I
265,0.603,8.691,0,I
266,0.073,2.23,0,I
267,0.275,23.687,0.997,I
268,0.274,14.031,1,I
269,0.244,7.06,0.994,I
270,0.557,14.751,0.352,I
271,0.402,14.898,0.725,I
272,0.433,17.263,0.583,I
273,0.318,20.281,0.911,I
274,0.3,27.453,0.999,I
275,0.142,27.149,0.671,I
276,0.575,31.68,0.999,I
277,0.318,21.878,0.25,I
278,0.251,18.367,0,I
279,0.322,9.806,0,I
280,0.086,10.423,0,I
281,0.321,7.627,0,I
282,0.376,10.312,0,I
283,0.117,2.309,0,I
284,0.248,17.762,0,I
285,0.503,22.487,0.316,I
286,0.531,12.207,0,I
287,0.43,22.081,0.521,I
288,0.467,18.211,0.08,I
289,0.425,24.632,0.675,I
290,0.612,24.595,0.485,I
291,0.642,22.082,0.448,I
292,0.268,17.963,0.457,I
293,0.388,12.812,0,I
294,0.136,13.584,0.124,I
295,0.413,12.879,0.232,I
296,0.684,5.686,0,I
297,0.191,4.776,0,I
298,0.43,5.528,0,I
299,0.914,9.392,0.147,I
300,0.332,2.971,0,I
301,0,0.642,0,I
302,0.055,3.936,0,I
303,0.461,3.697,0,I
304,0.209,2.733,0,I
305,0.438,0.616,0,I
306,0,0.659,0,I
307,0.232,0.965,0.072,I
308,0,0.893,0,I
309,0.538,5.216,0,I
310,0.275,5.43,0.051,I
311,0.431,12.742,0.237,I
312,0.381,12.193,0.251,I
313,0.464,12.052,0.549,I
314,0.397,14.738,0.849,I
315,0.611,17.498,0.813,I
316,0.498,13.005,0.651,I
317,0.309,17.578,0.922,I
318,0.314,40.167,0.994,I
319,0.322,35.147,0.972,I
320,0.52,33.622,0.643,I
321,0.271,26.932,0.198,I
322,0.119,27.029,0.002,I
323,0.607,24.133,0.21,I
324,0.586,20.178,0.355,I
325,0.26,10.706,0.158,I
326,0.118,14.321,0.173,I
327,0.047,4.082,0.106,I
328,0.113,1.103,0,I
329,0.312,9.047,0,I
330,0.418,8.474,0,I
331,0.184,7.638,0,I
332,0.025,10.921,0,I
333,0.149,1.5,0,I
334,0.104,2.322,0,I
335,0.427,6.929,0.001,I
336,0.518,13.523,0.018,I
337,0.183,19.632,0,I
338,0.483,39.759,0.038,I
339,0.402,37.698,0,I
340,0.543,26.815,0,I
341,0.53,33.256,0,I
342,0.264,29.72,0.015,I
343,0.299,22.784,0.059,I
344,0.232,12.349,0,I
345,0.148,27.144,0,I
346,0.1,11.217,0,I
347,0.216,14.199,0,I
348,0,1.619,0,I
349,0.253,12.319,0,I
350,0,32.437,0,I
351,0.089,34.574,0,I
352,0.022,44.911,0.361,I
353,0.045,32.392,0.027,I
354,0.042,35.155,0.265,I
355,0,42.973,0.93,I
356,0.068,47.344,0.075,I
357,0.291,47.518,0.474,I
358,0,48.448,0.173,I
359,0.178,43.2,0.16,I
360,0,43.429,0.127,I
361,0.209,43.755,0.002,I
362,0.199,43.922,0,I
363,0.401,36.639,0,I
364,0.179,37.72,0,I
365,0.06,30.282,0,I
366,0,39.255,0,I
367,0.401,34.334,0,I
368,0.192,30.292,0,I
369,0.141,24.256,0.134,I
370,0.12,39.322,0.68,I
371,0.398,27.004,0.337,I
372,0.082,28.087,0.39,I
373,0.585,20.65,0.641,I
374,0.292,11.206,0,I
375,0.145,14.21,0,I
376,0.497,17.097,0,I
377,0.118,18.936,0,I
378,0.164,24.303,0,I
379,0.084,33.458,0,I
380,0.158,25.235,0.412,I
381,0.477,22.365,0.239,I
382,0.123,20.303,0.178,I
383,0.574,29.928,0,I
384,0.153,1.905,0.682,I
385,0.072,12.946,0.142,I
386,0.057,13.376,0.287,I
387,0.104,13.768,0.854,I
388,0.176,20.077,0.062,I
389,0.219,18.285,0,I
390,0.085,12.316,0,I
391,0.182,15.119,0,I
392,0,12.887,0,I
393,0.371,12.975,0,I
394,0.154,8.888,0,I
395,0.074,5.822,0,I
396,0.088,7.683,0,I
397,0.227,9.443,0,I
398,0,3.097,0,I
399,0.26,6.716,0,I
400,0.304,6.689,0,I
401,0.732,0.677,0,I
402,0.72,0.899,0,I
403,0.347,0.743,0,I
404,0.262,1.525,0,I
405,0.312,2.097,0,I
406,0.618,4.214,0,I
407,0.216,1.377,0,I
408,0.407,6.671,0,I
409,0.222,7.027,0,I
410,0.284,13.369,0.013,I
411,0.571,22.898,0.179,I
412,0.2,30.329,0.075,I
413,0.255,37.244,0.794,I
414,0.098,29.96,0.918,I
415,0.295,27.565,0,I
416,0.215,30.615,0,I
417,0.262,25.361,0.048,I
418,0.405,24.706,0.395,I
419,0,27,0.48,I
420,0.372,12.241,0.154,I
421,0.511,8.006,0.684,I
422,0.295,26.864,0.595,I
423,0.152,9.993,0.924,I
424,0.307,20.715,0.999,I
425,0.226,28.893,0.999,I
426,0.487,37.891,0.999,I
427,0.464,36.583,0.74,I
428,0.783,29.708,0.999,I
429,0.421,28.125,0.993,I
430,0.383,26.221,0.999,I
431,0.418,20.508,0.915,I
432,0.281,7.691,0,I
433,0.04,10.275,0,I
434,0,16.211,0.051,I
435,0.536,17.876,0.543,I
436,0.227,13.901,0.356,I
437,0.208,12.434,0.064,I
438,0.136,13.086,0.1,I
439,0.553,9.58,0.983,I
440,0.729,8.553,0.999,I
441,0,4.196,0.993,I
442,0.966,18.184,0.597,I
443,0.875,22.985,0.924,I
444,0.7,12.585,0.761,I
445,0.853,15.987,0.984,I
446,0.203,24.379,0.999,I
447,0.94,29.057,0.999,I
448,0.704,28.969,0.999,I
449,0.528,32.09,1,I
450,0.608,31.576,1,I
451,0.157,1.127,0.468,I
452,1,22.715,0.999,I
453,0.397,15.335,0.999,I
454,0.541,14.916,0.999,I
455,0.703,11.859,0.999,I
456,0.117,25.593,0.934,I
457,0.118,20.838,0.978,I
458,0.197,8.874,1,I
459,0.19,2.56,1,I
460,0.43,4.233,0.999,I
461,0,1.354,0.809,I
462,0.178,1.688,0.098,I
463,0.084,5.369,0.736,I
464,0.034,3.696,0.984,I
465,0,5.263,1,I
466,0.338,0.593,0.172,I
467,0.266,32.545,0.997,I
468,0.808,37.845,0.999,I
469,0.255,37.74,1,I
470,0.357,19.463,0.749,I
471,0.17,8.369,0.708,I
472,0,2.543,0.665,I
473,0,5.104,0.999,I
474,0.16,6.37,0.981,I
475,0.315,4.163,0.971,I
476,0.991,2.589,0.291,I
477,0.692,3.914,0.99,I
478,0.756,1.46,0.134,I
479,0.373,2.4,0.476,I
480,0.171,4.228,0.244,I
481,0.665,0.754,0,I
482,0.338,2.856,0.426,I
483,0.534,1.064,0.046,I
484,0,2.972,0.231,I
485,0.706,8.053,0.938,I
486,0.653,8.933,0.88,I
487,0.366,13.083,0.938,I
488,0.623,0.585,0,I
489,0.303,0.664,0,I
490,0.316,2.294,0.139,I
491,0.228,2.856,0.387,I
492,0,6.282,0.999,I
493,0.259,8.661,0.999,I
494,0.244,0.849,0,I
495,0.339,0.806,0.019,I
496,0.41,4.426,0.236,I
497,0.1,4.531,0.837,I
498,0,7.676,0.964,I
499,0,5.067,0,I
500,0.067,14.403,0,I
501,0.512,17.03,0,I
502,0,9.821,0,I
503,0,10.403,0,I
504,0,17.525,0,I
505,0.131,17.118,0.07,I
506,0,15.426,0.452,I
507,0.14,12.972,0.813,I
508,0.337,16.056,0.999,I
509,0.459,25.046,0.999,I
510,0.181,21.074,0.272,I
511,0.039,31.158,1,I
512,0.092,39.421,0.999,I
513,1,23.372,0.999,I
514,0.332,23.006,0.999,I
515,0,20.058,0.654,I
516,0.164,13.813,0,I
517,0.337,4.65,0,I
518,0,9.044,0,I
519,0.383,1.325,0,I
520,0.186,7.219,0,I
521,0.185,4.658,0,I
522,0.23,12.115,0,I
523,0.229,12.447,0.229,I
524,0.093,5.108,0.053,I
525,0.165,8.819,0.025,I
526,0.185,12.15,0.501,I
527,0.097,18.639,0.992,I
528,0.198,19.635,1,I
529,0.179,28.597,0.999,I
530,0.093,26.318,0.999,I
531,0.276,22.687,0.999,I
532,0.298,27.324,1,I
533,0,31.38,0.999,I
534,0.083,32.548,1,I
535,0.115,36.277,0.999,I
536,0.126,39.192,1,I
537,0,43.78,0.999,I
538,0.064,42.296,0.845,I
539,0.022,42.086,0.999,I
540,0,39.272,0.77,I
541,0,37.15,1,I
542,0.382,32.377,0.999,I
543,0.225,26.099,1,I
544,0.049,24.507,0.996,I
545,0,16.734,0.524,I
546,0.15,18.337,0.965,I
547,0.173,18.571,1,I
548,0.024,16.784,0.3,I
549,0.144,18.544,0,I
550,0.08,16.505,0,I
551,0.014,3.312,0.335,I
552,0,5.957,0.947,I
553,0.067,8.377,0.999,I
554,0.03,16.22,0.999,I
555,0.07,7.188,1,I
556,0.187,30.138,0.999,I
557,0.098,20.778,1,I
558,0.086,33.551,0.978,I
559,0.02,19.967,0.999,I
560,0.089,23.452,0.999,I
561,0.184,20.97,0.999,I
562,0.282,2.522,0.615,I
563,0.057,0.571,0,I
564,0.297,1.779,0.311,I
565,0.225,1.166,0,I
566,0.461,1.205,0,I
567,0.229,2.766,0.126,I
568,0.038,1.293,0.048,I
569,0.035,2.955,0.303,I
570,0.102,3.544,0.777,I
571,0.323,1.127,0.116,I
572,0,1.505,0.545,I
573,0.074,3.524,0.167,I
574,0.016,5.267,0.362,I
575,0,8.408,0.518,I
576,0.036,7.9,0.646,I
577,0.152,12.581,0.999,I
578,0.083,7.459,0.854,I
579,0.091,3.389,0,I
580,0.106,7.42,0.658,I
581,0.129,3.905,0.004,I
582,0.159,4.568,0,I
583,0,9.873,0.413,I
584,0.056,8.843,1,I
585,0.022,13.37,1,I
586,0,13.585,0.999,I
587,0,11.141,1,I
588,0.224,7.918,0.985,I
589,0.173,4.879,0.293,I
590,0.115,0.613,0,I
591,0.369,1.023,0.266,I
592,0.133,4.302,0,I
593,0.413,1.004,0.958,I
594,0.421,4.028,0.015,I
595,1,2.273,0.891,I
596,0.393,4.15,0.534,I
597,0.038,14.477,0.97,I
598,0.068,30.435,0.592,I
599,0,40.906,0.64,I
600,0.144,26.327,0.448,I
601,0.471,10.862,0.548,I
602,0.334,22.751,0.519,I
603,0.443,18.687,0.188,I
604,0.283,15.931,0.424,I
605,0.142,14.35,0.446,I
606,0.527,6.141,0.057,I
607,0.372,13.914,0.557,I
608,0.357,2.094,0.014,I
609,0.433,9.881,0,I
610,1,12.772,0,I
611,0.578,8.267,0,I
612,0.315,15.449,0,I
613,0.076,4.313,0,I
614,0.478,1.945,0,I
615,0.207,3.909,0,I
616,0.053,9.709,0.013,I
617,0.273,5.928,0.29,I
618,0.107,4.7,0.553,I
619,0.064,7.793,0.729,I
620,0.092,9.065,0.858,I
621,0.032,13.376,0.765,I
622,0.222,18.074,0.655,I
623,0,14.572,0.771,I
624,0.12,22.54,1,I
625,0,14.62,0.834,I
626,0.088,27.263,0.962,D
627,0.026,32.622,0.966,D
628,0.117,34.945,0.859,I
629,0.046,38.676,0.753,I
630,0.058,6.345,0.031,I
631,0.54,0.719,0.992,I
632,0.381,4.388,0.467,I
633,0.318,6.138,0.812,I
634,1,3.449,0.605,I
635,0.862,7.612,0.02,I
636,0.612,6.466,0.001,I
637,0.236,1.58,0.674,I
638,0.478,2.593,0.542,I
639,0.085,0.795,0.443,I
640,0.166,0.91,0.415,I
641,0.688,5.913,0.834,I
642,0.443,6.381,0.732,I
643,0,1.308,0.249,I
644,0.556,0.792,0.736,I
645,0.882,1.53,0.816,I
646,0.141,2.581,0.756,I
647,0,0.992,0.963,I
648,0.227,4.975,0.893,I
649,1,2.815,0.001,I
650,0.891,3.927,0,I
651,0.086,5.034,0,I
652,0.238,8.963,0,I
653,0.136,3.552,0.07,I
654,0.313,2.017,0.602,I
655,0.194,3.463,0.752,I
656,0.056,12.05,0.657,I
657,0.585,1.022,0.732,I
658,0.612,1.32,0.411,I
659,0.815,1.426,0.357,I
660,0.275,4.73,0.638,I
661,0.094,1.802,0.941,I
662,0.309,1.569,0.565,I
663,0.146,16.805,1,I
664,0.154,5.528,0.868,I
665,0.43,13.427,0.741,I
666,0.2,14.128,0.952,I
667,0.14,34.612,0,I
668,0.321,36.201,0,I
669,0.392,37.645,0,I
670,0.08,29.202,0.003,I
671,0.345,28.783,0,I
672,0.578,22.571,0.302,I
673,0.428,28.679,0,I
674,0.156,17.231,0.219,I
675,0.507,21.279,0.191,I
676,0.342,24.327,0.681,I
677,0.34,22.577,0.939,I
678,0.361,2.831,0.907,I
679,0.215,12.677,0.999,I
680,0.186,1.953,0.465,I
681,0.041,11.539,0.441,I
682,0.078,8.529,0.317,I
683,0.214,16.084,0.181,I
684,0.218,5.593,0,I
685,0.269,1.286,0,I
686,0,5.101,0,I
687,0.208,4.824,0,I
688,0.597,7.356,0,I
689,0.036,0.883,0,I
690,0.107,3.097,0,I
691,0.44,10.492,0,I
692,0.139,2.546,0,I
693,0.115,8.251,0,I
694,0.256,3.064,0,I
695,0.189,6.294,0,I
696,0.116,5.962,0,I
697,0.297,7.063,0,I
698,0.768,14.049,0,I
699,0.411,1.723,0,I
700,0.184,3.553,0,I
701,0.038,10.281,0,I
702,0.025,6.88,0,I
703,0.327,0.632,0,I
704,0.048,17.025,0,I
705,0.143,36.105,0.116,I
706,0.056,10.963,0.002,I
707,0.172,12.817,0.084,I
708,0.434,12.357,0.102,I
709,1,0.902,0.085,I
710,0.515,0.841,0,I
711,0.616,0.525,0.014,I
712,0.649,0.94,0.797,I
713,0.401,7.631,0.996,I
714,0.295,1.014,0.525,I
715,0.238,0.669,0,I
716,0.049,0.665,0,I
717,0.17,3.327,0.21,I
718,0.138,1.426,0,I
719,0.02,0.949,0.505,I
720,0,7.772,0.999,I
721,0.931,11.1,0.999,I
722,0.074,12.938,1,I
723,0.084,20.96,1,I
724,0.077,36.239,0.999,I
725,0.043,26.732,1,I
726,0.021,29.029,1,I
727,0.268,19.04,1,I
728,0.031,29.247,0.939,I
729,0.036,35.039,0.87,I
730,0,1.028,1,I
731,0.313,7.906,1,I
732,0.3,14.587,0.996,I
733,0.062,22.522,0.989,I
734,0.164,1.265,0.777,I
735,0.527,2.017,0.524,I
736,0.085,0.64,0.797,I
737,0.177,0.997,1,I
738,0.497,4.815,0.999,I
739,0.015,0.824,0.999,I
740,0.395,0.832,1,I
741,0,5.615,0.999,I
742,0.035,3.21,0.999,I
743,0,10.264,0.999,I
744,0.607,6.413,0,I
745,0,4.115,0,I
746,0.093,0.728,0,I
747,0.062,2.488,0,I
748,0.247,4.143,0,I
749,0.496,3.459,0,I
750,0.318,1.346,0.096,I
751,0.256,11.594,0,I
752,0.207,19.727,0,I
753,0.121,26,0,I
754,0.131,21.405,0,I
755,0.617,25.61,0,I
756,0,1.383,0,I
757,0.578,9.146,0,I
758,0.344,2.341,0,I
759,0.437,2.538,0,I
760,0,1.069,0,I
761,0.215,1.177,0,I
762,0.406,0.58,0,I
763,0.079,0.792,0,I
764,0.037,8.804,0,I
765,0.174,9.408,0.1,I
766,0.247,10.591,0,I
767,0.045,10.296,0,I
768,0.209,2.007,0,I
769,0.362,1.644,0,I
770,0.193,8.167,0,I
771,0.272,6.789,0,I
772,0.528,5.078,0,I
773,0.271,6.292,0,I
774,0.496,2.924,0,I
775,0.104,3.513,0,I
776,0.439,3.71,0,I
777,0.579,1.605,0,I
778,0.041,1.776,0,I
779,0.144,1.063,0,I
780,0,0.93,0,I
781,0.149,2.997,0,I
782,0.131,0.659,0,I
783,0.503,0.723,0,I
784,0.266,0.704,0,I
785,0.253,1.033,0,I
786,0.108,0.79,0,I
787,0.208,0.919,0,I
788,0.135,2.005,0,I
789,0.521,0.982,0,I
790,0,0.558,0,I
791,0,0.636,0,I
792,0.127,18.856,0,I
793,0.168,42.296,0,I
794,0.225,40.167,0,I
795,0.265,23.728,0,I
796,0.487,8.116,0,I
797,0.441,5.837,0,I
798,0.263,0.748,0,I
799,0.306,6.217,0,I
800,0.135,1.037,0.05,I
801,0.31,14.429,0.197,I
802,0.34,10.818,0.277,I
803,0.189,17.168,0.777,I
804,0.228,15.024,0.486,I
805,0.282,41.181,0.999,I
806,0.206,41.727,0.999,I
807,0.464,23.786,0.95,I
808,0.096,21.613,0.973,I
809,0.02,1.541,0,I
810,0.05,1.202,0.001,I
811,0.097,5.171,0.1,I
812,0.184,9.087,0.048,I
813,0.16,6.107,0,I
814,0.073,3.831,0,I
815,0.238,3.279,0,I
816,0.112,7.468,0,I
817,0.18,5.961,0,I
818,0.304,2.706,0,I
819,0.233,0.717,0,I
820,0.283,0.87,0,I
821,0.26,0.835,0,I
822,0.424,0.86,0,I
823,0.205,11.493,0.031,I
824,0.157,0.702,0,I
825,0.268,0.917,0,I
826,0.114,8.943,0,I
827,0.324,8.435,0,I
828,0.138,5.418,0,I
829,0.173,5.931,0,I
830,0.064,13.665,0,I
831,0.521,10.661,0.033,I
832,0.331,2.652,0.106,I
833,0.124,2.412,0,I
834,0.068,0.645,0,I
835,0.257,1.618,0,I
836,0.146,0.669,0,I
837,0,3.444,0,I
838,0.561,3.29,0.1,I
839,0.1,5.769,0,I
840,0.024,4.293,0.129,I
841,0.225,0.726,0,I
842,0.093,0.694,0,I
843,0.278,1.044,0,I
844,0.373,3.01,0.224,I
845,0.753,19.064,0.347,I
846,0.088,6.381,0.015,I
